"cash_per_dau","cash_per_user","cli","date_field","dau","earn_type","experiment","gid","total_cash","users","variant_group","version"
-93.0706294873936,-128.226363008972,"0",2015-08-31,5989,"spend","content","4",-557400,4347,"1","2"
62.8512566955089,66.4228173307207,"0",2015-08-25,4854,"earn","content","4",305080,4593,"1","2"
11.1891538712839,978.571428571429,"0",2015-09-07,6122,"purchase","content","4",68500,70,"2","2"
-64.4482195360993,-91.8630966239814,"0",2015-09-07,6122,"spend","content","4",-394552,4295,"2","2"
-61.7304773148929,-90.0590551181102,"0",2015-09-15,5929,"spend","content","4",-366000,4064,"1","2"
8.85478158205431,739.43661971831,"0",2015-09-15,5929,"purchase","content","4",52500,71,"1","2"
45.3896103896104,48.5154137371552,"0",2015-09-15,5929,"earn","content","4",269115,5547,"1","2"
9.14113510798594,898.765432098765,"0",2015-09-02,7964,"purchase","content","4",72800,81,"3","2"
-72.0950527373179,-102.09192745377,"0",2015-09-02,7964,"spend","content","4",-574165,5624,"3","2"
49.5070316423908,52.4928771135668,"0",2015-09-02,7964,"earn","content","4",394274,7511,"3","2"
-65.4996475149806,-92.6564447768636,"0",2015-09-08,5674,"spend","content","4",-371645,4011,"1","2"
10.2028639618138,1171.23287671233,"0",2015-09-06,8380,"purchase","content","4",85500,73,"3","2"
-70.3645584725537,-98.5550727060003,"0",2015-09-06,8380,"spend","content","4",-589655,5983,"3","2"
42.3439775194789,45.4809987652627,"0",2015-09-10,7829,"earn","content","4",331511,7289,"3","2"
-56.8482564823094,-83.3143017596406,"0",2015-09-10,7829,"spend","content","4",-445065,5342,"3","2"
-60.6902937420179,-86.0411008509868,"0",2015-09-07,7830,"spend","content","4",-475205,5523,"3","2"
45.5600255427842,48.515571875425,"0",2015-09-07,7830,"earn","content","4",356735,7353,"3","2"
48.214364640884,51.6466012850862,"0",2015-09-14,6335,"earn","content","4",305438,5914,"2","2"
10.3393843725335,963.235294117647,"0",2015-09-14,6335,"purchase","content","4",65500,68,"2","2"
10.7172894389042,1049.41176470588,"0",2015-09-12,8323,"purchase","content","4",89200,85,"3","2"
43.1742160278746,47.8416988416988,"0",2015-09-12,8323,"earn","content","4",359339,7511,"3","2"
-62.2914547304171,-88.0726357425387,"0",2015-09-08,7864,"spend","content","4",-489860,5562,"3","2"
13.7381220808504,1027.71084337349,"0",2015-09-16,6209,"purchase","content","4",85300,83,"2","2"
52.5662747624416,55.8972426785408,"0",2015-09-16,6209,"earn","content","4",326384,5839,"2","2"
-68.0262522145273,-101.532451923077,"0",2015-09-16,6209,"spend","content","4",-422375,4160,"2","2"
-85.0060988005692,-121.166328600406,"0",2015-08-27,4919,"spend","content","4",-418145,3451,"1","2"
13.6003252693637,1079.03225806452,"0",2015-08-27,4919,"purchase","content","4",66900,62,"1","2"
